epoch,r2,loss
0,-0.016580820083618164,17.792661666870117
1,-0.004632711410522461,18.39968490600586
2,-0.004337787628173828,20.203813552856445
3,0.0011281371116638184,16.887868881225586
4,0.002006709575653076,17.965566635131836
5,0.019252240657806396,18.440898895263672
6,0.03241837024688721,22.54487419128418
7,0.04166346788406372,15.093832969665527
8,0.11413174867630005,19.7060489654541
9,0.15395808219909668,17.062335968017578
10,0.22534817457199097,18.317121505737305
11,0.2042730450630188,19.852210998535156
12,0.3065382242202759,18.075334548950195
13,0.30014586448669434,17.547321319580078
14,0.34145498275756836,18.767852783203125
15,0.3221323490142822,17.711584091186523
16,0.3124157786369324,14.415014266967773
17,0.3292005658149719,15.679936408996582
18,0.3502015471458435,20.47985076904297
19,0.28666138648986816,17.57825469970703
20,0.3282009959220886,21.121917724609375
21,0.33966898918151855,12.593546867370605
22,0.3242705464363098,17.843351364135742
23,0.38411813974380493,18.28968048095703
24,0.41685664653778076,21.592632293701172
25,0.4668707251548767,18.741140365600586
26,0.45364314317703247,17.893722534179688
27,0.5329948663711548,14.912981033325195
28,0.5041229724884033,16.05640411376953
29,0.42119646072387695,19.143848419189453
30,0.4289478063583374,19.013246536254883
31,0.5068210363388062,16.12505340576172
32,0.5083264708518982,17.0383358001709
33,0.5637679100036621,16.1375732421875
34,0.5461826324462891,16.5306339263916
35,0.5592262148857117,18.57740592956543
36,0.5784066319465637,18.927921295166016
37,0.5992765426635742,18.389076232910156
38,0.5310391187667847,16.714818954467773
39,0.5264279842376709,17.988162994384766
40,0.5893903374671936,15.19466781616211
41,0.5552127361297607,19.19974136352539
42,0.6005500555038452,16.80622100830078
43,0.6020722985267639,19.310190200805664
44,0.6551351547241211,18.747053146362305
45,0.6274385452270508,13.2403564453125
46,0.6210517883300781,19.85840606689453
47,0.619981050491333,20.084278106689453
48,0.6435413360595703,18.75900650024414
49,0.6649535298347473,15.192298889160156
50,0.6137361526489258,14.640646934509277
51,0.6315014362335205,17.58774185180664
52,0.6119735240936279,16.063566207885742
53,0.6615054607391357,13.271113395690918
54,0.6883929967880249,16.925827026367188
55,0.6375820636749268,21.1650333404541
56,0.6837544441223145,18.39699363708496
57,0.6727882623672485,15.981611251831055
58,0.6735652685165405,20.768659591674805
59,0.6569777131080627,14.673745155334473
60,0.6649606823921204,14.112513542175293
61,0.6734142303466797,12.97531509399414
62,0.6753822565078735,18.901079177856445
63,0.6926997900009155,20.820993423461914
64,0.6563502550125122,15.782659530639648
65,0.6703201532363892,15.968145370483398
66,0.6925077438354492,20.144603729248047
67,0.6887226700782776,16.714296340942383
68,0.6676170825958252,15.231013298034668
69,0.7157632112503052,18.46377944946289
70,0.7007498741149902,16.68160057067871
71,0.7166922092437744,15.022439002990723
72,0.6871566772460938,13.61172103881836
73,0.6918712854385376,20.49333953857422
74,0.7184878587722778,17.937768936157227
75,0.6834228038787842,16.57602310180664
76,0.6681808233261108,15.485548973083496
77,0.7149245142936707,17.57223892211914
78,0.6894519925117493,14.4082612991333
79,0.7175303101539612,15.686009407043457
80,0.6803174018859863,13.798656463623047
81,0.722388505935669,13.054976463317871
82,0.6704287528991699,17.81328773498535
83,0.7160955667495728,17.521408081054688
84,0.6979192495346069,17.957584381103516
85,0.7057044506072998,12.434553146362305
86,0.6455879211425781,15.740988731384277
87,0.7002326846122742,15.792436599731445
88,0.7085020542144775,13.62308406829834
89,0.6556566953659058,16.481014251708984
90,0.6830073595046997,12.833236694335938
91,0.6837533712387085,14.023505210876465
92,0.6754578948020935,17.264524459838867
93,0.7182348370552063,16.61426544189453
94,0.7014154195785522,15.169981002807617
95,0.6993238925933838,13.932371139526367
96,0.7145570516586304,10.164263725280762
97,0.7198137044906616,14.593132972717285
98,0.7373374700546265,15.139521598815918
99,0.6832926273345947,14.029483795166016
100,0.7148193120956421,14.472732543945312
